C:\LipidView Data\LV Results\200529_XtrIL_ExampleData_Pos_PS_NL_QTRAP_pl_PE P18_1_TM.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	6	7	8	9	10	11	12	13	14	15	16	17	18
688.5	390.30	Positive	Confirmed and Common Results	IS PE P-18:1/15:0	(-O-18:2+C2H8NO3P)	9807625	14411636.5502	13653375	10033000	8003520.7511	5768376.9319	11484197.699	12837188.3572	11413084.4602	9812776.0607	11001663.4874	9945582.2347	13584114.0773	13182125.3133	16263960.7262	14186242.3631	18303000
744.6	390.30	Positive	Confirmed and Common Results	IS PE P-18:1/19:0	(-O-18:2+C2H8NO3P)	12307250	18098500	16545453.5936	12951125	9444399.1075	7448011.5845	14030543.8079	15756172.7754	13634216.5121	11886187.9641	13586611.6111	12389957.4318	16302162.7747	15704995.8851	19221875	17080285.3718	23634810.8263
828.7	390.30	Positive	Confirmed and Common Results	IS PE P-18:1/25:0	(-O-18:2+C2H8NO3P)	13498750	19764875	18328446.1252	13688546.4722	10678717.9637	8512933.534	15150254.7989	17187701.9642	14995875	13550040.9509	14762056.0811	13914523.7641	18175081.9059	16865995.8068	21185879.99	18908162.4026	24504497.0809
700.5	390.30	Positive	Confirmed and Common Results	PE P-18:1/16:1	(-O-18:2+C2H8NO3P)	3207455.8005	4555250	4232705.1224	3376470.0962	3401194.2842	2756434.2333	5016933.281	4872740.1151	3230798.6335	3204444.5398	3287280.6836	3050170.8728	1866017.8867	1918932.642	2180840.9716	1871278.4393	19004.7246
702.5	390.30	Positive	Confirmed and Common Results	PE P-18:1/16:0	(-O-18:2+C2H8NO3P)	7492465.9789	11109941.0824	10283348.3569	8448235.4033	4694910.6213	3715528.9946	6672083.9018	6662514.9479	5203774.8653	5406482.7281	5344354.4964	4781010.5369	2863070.4684	2861337.0719	2984476.4146	3029797.4162	34615.674
726.6	390.30	Positive	Confirmed and Common Results	PE P-18:1/18:2	(-O-18:2+C2H8NO3P)	931573.3212	1533500	1261743.2569	1017625	1086037.901	961427.6247	1568412.7904	1732548.5189	976679.6368	1001920.9322	1049025.9312	956589.5231	747043.9306	864997.2194	830250	865610.9042	15763.7598
728.6	390.30	Positive	Confirmed and Common Results	PE P-18:1/18:1	(-O-18:2+C2H8NO3P)	12082008.1961	17387187.7824	15912344.749	12947291.2816	13406951.9736	10712468.8657	19258462.2598	19598163.4081	10449850.585	10491179.5156	10315330.4903	9493243.5969	8607222.7076	8167765.6809	9095038.8579	8922494.5431	3623.2971
730.5	390.30	Positive	Confirmed and Common Results	PE P-18:1/18:0	(-O-18:2+C2H8NO3P)	4206.1418	47729.6862	0	11764.6428	0	0	0	0	0	42195.403	0	88539.5106	0	31989.2364	0	44234.9924	23542.9601
748.6	390.30	Positive	Confirmed and Common Results	PE P-18:1/20:5	(-O-18:2+C2H8NO3P)	1063125	1559144.3445	1418106.7982	1076750	1165040.2979	1084933.4213	1641666.912	1934336.9858	1211329.7544	1080656.7583	1050941.3685	1009924.253	1119250	1333238.3362	1215542.0608	1158488.6596	111430.1987
750.6	390.30	Positive	Confirmed and Common Results	PE P-18:1/20:4	(-O-18:2+C2H8NO3P)	5531506.1345	7758375	7145851.5455	5863457.4837	6952237.8713	5607340.3802	9391386.3752	9498548.3059	5317023.2342	5148824.4758	5111288.7757	4873516.3908	5429239.7741	5116892.4264	6085026.4746	5777417.9396	18925.4
752.6	390.30	Positive	Confirmed and Common Results	PE P-18:1/20:3	(-O-18:2+C2H8NO3P)	756362.372	914119.1612	928814.9661	725973.8317	770387.8942	726747.9207	1312115.1266	1272241.4473	736052.6104	750141.8004	758023.2386	730811.5833	736785.2625	709759.4585	771990.6822	793221.4784	21247.4103
754.6	390.30	Positive	Confirmed and Common Results	PE P-18:1/20:2	(-O-18:2+C2H8NO3P)	316985.9178	396452.2464	487607.6363	306714.1933	222138.8506	306563.5742	375966.8822	326422.7056	299007.9563	267892.6878	331901.2928	261183.4093	207172.1205	304908.9675	257901.3626	175496.9269	11249.4272
756.6	390.30	Positive	Confirmed and Common Results	PE P-18:1/20:1	(-O-18:2+C2H8NO3P)	633437.2049	922205.8215	733338.8929	601211.4538	617092.6643	532974.4974	830365.9557	778606.5353	505023.2286	499297.8349	492475.9379	433297.5666	387841.2969	411823.9437	371485.8242	396899.923	17917.583
758.6	390.30	Positive	Confirmed and Common Results	PE P-18:1/20:0	(-O-18:2+C2H8NO3P)	31952.9802	69054.541	61472.0442	57062.7978	34309.8083	53708.6935	44776.8216	11552.9849	27300.363	41887.2178	35824.9659	47821.6623	23761.0613	31247.9471	46181.8452	25872.7182	0
774.6	390.30	Positive	Confirmed and Common Results	PE P-18:1/22:6	(-O-18:2+C2H8NO3P)	3329875	4615000	3856912.7946	3354981.6639	3593001.7439	3050666.6911	5159375	5489500	2647364.0875	2750865.5505	2703375	2613819.1893	2808704.0592	2615750	2715432.7441	2945500.159	9557.0066
776.5	390.30	Positive	Confirmed and Common Results	PE P-18:1/22:5	(-O-18:2+C2H8NO3P)	2419952.0453	3070924.0235	2772884.9555	2429415.0346	2285151.9169	1943623.4644	3187515.2158	3286239.5101	1741591.0499	1694853.3805	1726927.8322	1610135.2539	1859302.4428	1599302.0095	1813487.9187	1995945.164	157115.7059
778.5	390.30	Positive	Confirmed and Common Results	PE P-18:1/22:4	(-O-18:2+C2H8NO3P)	403961.0799	734395.0831	582026.4892	433905.6181	409125.1784	338656.2427	467907.5802	424268.7313	319644.9827	356836.43	367193.3472	288316.0988	298805.2549	274516.4519	314748.2153	328849.4713	47750
780.6	390.30	Positive	Confirmed and Common Results	PE P-18:1/22:3	(-O-18:2+C2H8NO3P)	189913.4408	407676.2276	332022.4415	529470.1058	104090.0924	166242.9026	260673.0957	205262.3855	232637.7814	163736.9898	190670.5976	221014.5275	167419.7827	256507.5275	171186.6935	325758.7319	81485.0065
782.5	390.30	Positive	Confirmed and Common Results	PE P-18:1/22:2	(-O-18:2+C2H8NO3P)	338174.3742	490173.3083	360300.7321	348300.2528	188003.228	177438.4545	215629.1067	253479.5547	236229.4568	281623.5316	255647.3518	280041.0382	300158.9075	208883.0014	248481.5232	209777.4575	9882.458
