C:\LipidView Data\LV Results\200529_XtrIL_ExampleData_TAG_NL.txt	Peak Intensities																					
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Kon A
766.8	271.3	Positive	Confirmed and Common Results	TAG 44:1+NH4	(-FA 16:1)	373250	330125	249750	505250	465500	595375	277000	553125	235125	376250	409250	215875	425875	399375	482875	452125	267500
766.8	273.3	Positive	Confirmed and Common Results	TAG 44:1+NH4	(-FA 16:0)	492000	221000	135375	280000	372250	386500	178625	342250	216750	244250	291875	147625	325375	307125	335000	305000	127500
766.8	299.3	Positive	Confirmed and Common Results	TAG 44:1+NH4	(-FA 18:1)	147625	124000	76625	172000	159875	260625	103875	175625	104875	155125	146625	92000	205875	258875	237250	168125	78625
782.8	217.3	Positive	Confirmed and Common Results	TAG 45:0+NH4	(-FA 12:0)	140875	73625	48000	90125	109125	137000	39375	79250	69125	79375	90125	32750	81125	126750	101125	113000	69500
782.8	245.3	Positive	Confirmed and Common Results	TAG 45:0+NH4	(-FA 14:0)	993375	621500	387625	942625	1090625	1090375	414375	939125	675125	962625	838000	421375	1019000	1071875	998500	1298250	430875
782.8	259.3	Positive	Confirmed and Common Results	TAG 45:0+NH4	(-FA 15:0)	884000	611250	377625	769500	850125	1071500	304375	726750	500750	735125	839125	343875	658250	921375	693375	853125	425625
782.8	273.3	Positive	Confirmed and Common Results	TAG 45:0+NH4	(-FA 16:0)	1019125	750625	437875	1166875	1114500	1195625	471875	926500	762625	992000	961500	484375	1047000	1284500	1103000	1308125	538000
782.8	287.3	Positive	Confirmed and Common Results	TAG 45:0+NH4	(-FA 17:0)	335250	217125	124250	286500	296000	330875	143250	308375	232500	263500	240250	234375	241625	321000	223000	233250	321750
782.8	315.3	Positive	Confirmed and Common Results	TAG 45:0+NH4	(-FA 19:0)	654250	437250	283875	475000	562375	845625	531625	542625	515875	424500	323625	483500	511500	490875	489250	574875	31500
796.8	217.3	Positive	Confirmed and Common Results	TAG 46:0+NH4	(-FA 12:0)	90250	94125	71125	122750	140625	142125	62000	107750	110500	133375	103125	51125	144625	230625	175625	162125	47625
796.8	245.3	Positive	Confirmed and Common Results	TAG 46:0+NH4	(-FA 14:0)	1423000	1036500	587250	1324500	1666125	1682250	864875	1457250	1069000	1700875	1271750	688125	1780500	2050250	1747125	2086625	680250
796.8	259.3	Positive	Confirmed and Common Results	TAG 46:0+NH4	(-FA 15:0)	940500	650500	339000	847875	782375	886000	345000	653500	398875	684125	710375	306250	625875	702875	487125	705000	440500
796.8	273.3	Positive	Confirmed and Common Results	TAG 46:0+NH4	(-FA 16:0)	2382000	1589750	1114125	2189750	2677250	2882500	1258625	2349000	1893750	2849875	2422250	1371000	2658125	3329750	3035375	3415625	1013000
796.8	287.3	Positive	Confirmed and Common Results	TAG 46:0+NH4	(-FA 17:0)	331000	195375	105625	290000	295625	313000	156250	230500	165375	229375	244375	101375	165375	246750	197250	256625	136250
796.8	301.3	Positive	Confirmed and Common Results	TAG 46:0+NH4	(-FA 18:0)	167500	201250	113000	205375	184375	243250	104500	224750	165125	231625	211250	110500	298125	290125	272750	256125	98625
794.7	217.3	Positive	Confirmed and Common Results	TAG 46:1+NH4	(-FA 12:0)	256375	203125	139250	191250	355875	362625	159625	263500	255875	329875	255375	196875	548625	541250	542375	551125	68750
794.7	245.3	Positive	Confirmed and Common Results	TAG 46:1+NH4	(-FA 14:0)	1132125	1007375	532750	1237625	1675500	1770375	780375	1554375	1068250	1397375	1248375	846500	1733750	1854500	1685000	1900375	396250
794.7	259.3	Positive	Confirmed and Common Results	TAG 46:1+NH4	(-FA 15:0)	300125	299500	147500	344375	449250	518500	182125	417500	157625	245125	402375	177500	288500	283500	340875	337500	244750
794.7	271.3	Positive	Confirmed and Common Results	TAG 46:1+NH4	(-FA 16:1)	1007750	919500	633250	1332750	1481375	1469750	683125	1362125	789125	1124500	1354125	669000	1303125	1284625	1398375	1451375	555750
794.7	273.3	Positive	Confirmed and Common Results	TAG 46:1+NH4	(-FA 16:0)	1385125	819125	520375	1183875	1400625	1521750	850125	1226000	929500	1113125	1144625	653250	1457375	1742125	1651000	1601375	452500
794.7	299.3	Positive	Confirmed and Common Results	TAG 46:1+NH4	(-FA 18:1)	409500	409875	261750	607750	680250	764750	375125	757000	452750	618125	483625	424000	852375	1021875	875250	871000	149625
794.7	301.3	Positive	Confirmed and Common Results	TAG 46:1+NH4	(-FA 18:0)	253750	92625	45125	114250	150500	127375	53625	140000	79000	85875	46000	88875	82625	113500	137750	103125	57375
792.8	217.3	Positive	Confirmed and Common Results	TAG 46:2+NH4	(-FA 12:0)	159625	98875	64375	89625	144250	162125	71750	197375	100250	148500	125625	98625	176375	190250	177125	202375	51750
792.8	245.3	Positive	Confirmed and Common Results	TAG 46:2+NH4	(-FA 14:0)	342375	359875	158250	400750	414875	396875	214500	488750	314500	292375	311750	199625	321375	437000	376250	410625	205625
792.8	259.3	Positive	Confirmed and Common Results	TAG 46:2+NH4	(-FA 15:0)	93875	65375	56000	112250	85750	114125	32625	107500	40000	54875	70250	34750	62125	51500	64875	46875	67250
792.8	271.3	Positive	Confirmed and Common Results	TAG 46:2+NH4	(-FA 16:1)	1051375	762750	507000	990250	996125	1152000	566625	1012250	523500	758750	934500	512125	847000	977000	977875	993125	561250
792.8	273.3	Positive	Confirmed and Common Results	TAG 46:2+NH4	(-FA 16:0)	176000	115000	105500	203750	228125	264750	101625	214250	111500	169875	133000	95125	179000	234750	229750	253125	77750
792.8	297.3	Positive	Confirmed and Common Results	TAG 46:2+NH4	(-FA 18:2)	57750	85125	40500	131625	126875	114750	36750	161875	49375	76375	78625	29625	68000	127875	98125	85000	72875
810.8	245.3	Positive	Confirmed and Common Results	TAG 47:0+NH4	(-FA 14:0)	522875	370125	234250	561750	542375	570750	266500	565375	392875	538000	460375	244125	532250	726500	613750	690875	271250
810.8	259.3	Positive	Confirmed and Common Results	TAG 47:0+NH4	(-FA 15:0)	1060375	829000	487000	967875	1180500	1228500	506000	1124750	788500	1349125	1069125	515375	1250250	1496500	1317500	1367250	585125
810.8	273.3	Positive	Confirmed and Common Results	TAG 47:0+NH4	(-FA 16:0)	2125750	1820375	1094375	2132000	3418125	3377250	1671500	2527000	2403500	3407125	2625875	1566000	4296375	4962375	4385375	5499750	910500
810.8	287.3	Positive	Confirmed and Common Results	TAG 47:0+NH4	(-FA 17:0)	561875	441875	220250	465000	547375	616750	224375	463875	365875	601875	511750	241375	450000	571375	526625	573125	260875
810.8	301.3	Positive	Confirmed and Common Results	TAG 47:0+NH4	(-FA 18:0)	182500	168000	78500	397125	211000	224750	68875	233750	103750	181875	174125	78625	183625	234125	202875	155375	101250
