C:\LipidView Data\LV Results\200529_XtrIL_ExampleData_Pos_PS_NL_QTRAP_PS_Controls_deisotope_TM.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Kon A
804.6	185.00	Positive	Confirmed and Common Results	PS O-38:1	(-PS)	1350684.4047	1063558.4611	1120841.1709	817649.0973	773396.8564	1284094.5537	1558996.7327	1186219.2421	1010451.4932	1172052.4373	1048410.5411	1186025.0673	678558.6466	701057.3291	499306.7755	637513.0219	52719.9475
806.6	185.00	Positive	Confirmed and Common Results	PS 38:7	(-PS)	97721.1628	97299.9554	139927.1342	83454.0507	76720.2428	120379.0083	72428.5759	158077.7021	100776.2525	186960.5811	89400.8966	91165.5845	109443.4817	55818.2526	87661.3919	75535.3422	0
808.6	185.00	Positive	Confirmed and Common Results	PS 38:6	(-PS)	390056.4118	306781.3977	290358.9297	244839.1664	350107.3959	584879.5789	678748.0175	553784.1034	401485.2739	436625	261356.2418	370138.6094	297213.5253	348437.7917	266900.7735	267981.6968	78415.0706
810.5	185.00	Positive	Confirmed and Common Results	PS 38:5	(-PS)	846887.4149	625844.5331	701464.1023	423602.9394	571801.6592	827184.1908	1094974.0594	880819.1565	843502.664	752548.8137	599259.8303	776262.4197	946337.7066	957250	762975.4483	738156.9514	35183.1951
812.6	185.00	Positive	Confirmed and Common Results	PS 38:4	(-PS)	1267020.9667	1062628.0613	1101674.8224	792857.2067	1250825.7558	1841685.3875	2184693.9053	1817535.9988	1335019.9388	1238588.2305	1018091.0086	1319591.6723	1564668.1904	1676352.0885	1377031.587	1423809.5819	69570.0299
814.6	185.00	Positive	Confirmed and Common Results	PS 38:3	(-PS)	2127298.6744	1773189.888	1835810.3351	1270788.1753	1490701.1018	2440975.4371	3140945.2778	2366605.3461	1741084.3507	1873186.486	1568033.6724	1914313.2072	1252522.9578	1342619.0996	1075019.0087	1099473.8608	0
816.6	185.00	Positive	Confirmed and Common Results	PS 38:2	(-PS)	7836904.1669	5862308.9633	6385784.5066	4433908.7534	3426522.8909	6540712.4175	7997459.8307	6077081.9391	6475842.2093	6812114.1965	6170631.0588	7244726.6219	3476975.8038	3881706.7003	3187813.4056	3419254.4785	43716.1107
818.6	185.00	Positive	Confirmed and Common Results	PS 38:1	(-PS)	2068378.173	1828461.4765	1757310.7911	1320550.4218	1274812.9407	1987319.6936	2728027.3025	2081422.6742	2009907.8593	2114708.1263	1737163.5736	2108725.5295	1239252.2316	1255241.6611	1024572.964	1267978.9805	80534.106
820.6	185.00	Positive	Confirmed and Common Results	PS 38:0	(-PS)	192484.9215	156042.5436	197838.5781	189483.7354	187844.9512	180602.8486	236075.9474	205146.7917	456500.4452	218647.2204	327637.8759	223896.9771	312542.2274	292181.3927	277762.5786	132898.6154	139957.9354
830.7	185.00	Positive	Confirmed and Common Results	PS O-40:2	(-PS)	601248.4051	445881.8168	435766.3453	400902.8221	337305.4838	483016.4736	615974.4659	482520.8111	516250.4542	587917.366	548667.7027	689237.1502	340505.8838	341181.1535	274588.0645	328107.0693	61701.4106
832.6	185.00	Positive	Confirmed and Common Results	PS O-40:1	(-PS)	287353.8403	231118.7181	188137.3642	196380.8536	166987.7553	251043.9008	233285.2732	174278.7111	270801.9047	335973.6348	201213.8052	289358.3637	237645.2713	211994.9367	170317.6927	233025.6933	34741.0065
834.5	185.00	Positive	Confirmed and Common Results	PS O-40:0	(-PS)	790404.1371	609285.7982	557876.7368	388014.3528	448860.0467	756711.0561	964896.8528	797147.8143	510957.664	463367.2224	460336.2037	494036.4853	434680.0239	445937.6469	352118.8497	389926.4402	59500
836.6	185.00	Positive	Confirmed and Common Results	PS 40:6	(-PS)	3044501.1305	2312441.4424	2285848.5742	1712191.8553	2526444.5903	4645499.1278	5545903.0978	4341310.3553	1807201.4482	1770434.6222	1549589.6275	1895081.8569	1789666.2724	2006691.8499	1554767.3169	1788013.5182	54077.2934
838.6	185.00	Positive	Confirmed and Common Results	PS 40:5	(-PS)	2459832.6239	1848699.6528	1848467.766	1347257.915	1635337.639	2733399.5665	3685736.8612	2917708.6165	1534664.2221	1556353.5466	1276117.9403	1527071.7966	1189266.3314	1330444.2565	1002622.3907	1003406.0198	68473.7742
840.6	185.00	Positive	Confirmed and Common Results	PS 40:4	(-PS)	768112.1834	644836.6502	606806.4396	447688.4181	468708.7869	640811.9901	761073.8953	840189.7287	571031.4064	528772.4477	470289.6561	589399.5814	344996.1928	385271.5708	336974.3438	362636.6855	37725.9022
842.6	185.00	Positive	Confirmed and Common Results	PS 40:3	(-PS)	972028.9992	748714.7158	669899.3467	562518.8916	397697.3641	606427.3067	724747.4109	524032.1346	662880.9368	876955.7198	656578.6629	822808.2133	453324.4767	457743.1762	332869.8593	444793.0906	56250.8678
846.7	185.00	Positive	Confirmed and Common Results	PS 40:1	(-PS)	285621.1307	349130.6809	310656.3201	185628.9956	138238.8747	447252.897	396917.5719	359978.8048	835184.7184	921982.8149	655720.4701	748331.0039	526473.3749	719485.2371	233053.5481	555180.4919	0
856.6	185.00	Positive	Confirmed and Common Results	PS O-42:3	(-PS)	0	201125	96671.6613	110850.758	37878.0472	0	72091.6874	98000	85568.4315	48984.9931	68681.7363	87922.7443	62572.4299	83970.2213	0	55524.405	44974.3703
858.6	185.00	Positive	Confirmed and Common Results	PS O-42:2	(-PS)	92068.0173	164960.9578	139368.0269	114898.0951	94420.7348	78163.9406	170384.3945	109830.4148	162936.9323	197533.426	179346.7997	131913.2631	168121.7449	174988.4529	91613.0623	267817.7052	62379.851
860.6	185.00	Positive	Confirmed and Common Results	PS O-42:1	(-PS)	112223.1331	101955.2827	118736.7096	133483.0032	81692.1604	84331.4523	103436.1803	67118.422	119873.3841	96200.4347	111284.4115	105394.3467	95759.2388	92335.1533	89543.0706	110942.0104	23749.9684
862.6	185.00	Positive	Confirmed and Common Results	PS O-42:0	(-PS)	178166.1849	157804.4223	121067.5193	130704.5606	154350.548	152862.2965	230921.9303	168788.7408	106695.3599	203375	115225.3086	112647.3673	125708.1115	82302.1782	58326.4136	88489.0034	46991.7455
864.6	185.00	Positive	Confirmed and Common Results	PS 42:6	(-PS)	246562.7184	184687.766	86578.1005	260283.4544	151212.1602	168071.6801	261811.7527	164837.7908	204051.688	122575.0738	160908.4248	214781.3119	240715.19	119033.4003	150071.6365	87602.1339	90580.7
866.6	185.00	Positive	Confirmed and Common Results	PS 42:5	(-PS)	164367.184	161711.0752	133822.9942	98227.0774	99555.6986	100807.5162	159017.0718	79853.8961	119444.779	102594.3679	92517.042	112884.3514	62980.8798	106961.2973	69021.3238	65359.1676	122653.6545
868.6	185.00	Positive	Confirmed and Common Results	PS 42:4	(-PS)	163861.8607	156752.3273	157008.3266	127717.0271	91994.7648	91574.2714	174077.2324	85865.726	146837.7171	157124.0781	79405.7303	93350.6555	65440.1618	94442.4368	107359.5401	68777.0973	27684.5047
872.7	185.00	Positive	Confirmed and Common Results	PS 42:2	(-PS)	756280.7658	679954.1364	555633.5493	395123.5926	324268.6804	434793.5373	516917.495	442916.6346	760181.5601	809569.3942	713127.272	828560.9967	644565.5543	708004.1526	578334.4203	689451.6294	40279.7055
874.7	185.00	Positive	Confirmed and Common Results	PS 42:1	(-PS)	88823.6451	109600.4682	93814.4008	141147.806	150678.7947	106178.84	134878.9828	165154.3524	411811.824	377241.3983	356477.315	356474.5685	264351.1109	310307.3392	225678.8917	276842.0282	99291.0087
